artigoEmPeriodico	 	2018		Acoustic radiation force impulse elastography of the eyes of brachycephalic dogs	ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA	ABREU, T. G. M. ; FELICIANO, M. A. R. ; RENZO, R. ; KOBASHIGAWA, K. K. ; CHACALTANA, F. D. Y. C. ; CRIVELARO, R. M. ; ALDROVANI, M. ; MARONEZI, M. C. ; Thiesen, R. ; LAUS, J. L.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1152/advan.00148.2017	Improving physiology learning and understanding by adding outreach activities to the teaching: report of the IUPS and ADInstruments Teaching Workshop 2017	ADVANCES IN PHYSIOLOGY EDUCATION	CARPES, P. B. M. ; CARPES, FP		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.nutres.2018.04.004	Quercetin treatment regulates the Na + ,K + -ATPase activity, peripheral cholinergic enzymes, and oxidative stress in a rat model of demyelination	NUTRITION RESEARCH	CARVALHO, FABIANO B. ; GUTIERRES, JESSIÉ M. ; BECKMANN, DIEGO ; Santos, Rosmarini P. ; THOMÉ, GUSTAVO R. ; BALDISSARELLI, JUCIMARA ; STEFANELLO, NAIARA ; ANDRADES, AMANDA ; Aiello, Graciane ; Ripplinger, Angel ; LUCIO, BRUNA M. ; INEU, RAFAEL ; Mazzanti, Alexandre ; MORSCH, VERA ; Schetinger, Maria Rosa ; ANDRADE, CINTHIA M.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.lfs.2018.04.038	Occupational exposure to pesticides in family agriculture and the oxidative, biochemical and hematological profile in this agricultural model	LIFE SCIENCES	CATTELAN, MÁRCIA DENISE PAVANELO ; MAURER, PATRÍCIA ; GARCIA, FERNANDEZ ; BERRO, LYANA FEIJOÓ ; Machado, Michel Mansur ; MANFREDINI, VANUSA ; PICCOLI, JACQUELINE DA COSTA ESCOBAR		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.biopha.2017.10.003	Protective effect of the hydroalcoholic extract of Tripodanthus acutifolius in hypercholesterolemic Wistar rats	BIOMEDICINE & PHARMACOTHERAPY	COELHO, RITIÉLE PINTO ; FEKSA, DENISE LIMA ; OLIVEIRA, PATRÍCIA MARTINEZ ; DA COSTA GÜLLICH, ANGÉLICA APARECIDA ; PILAR, BRUNA COCCO ; da Costa Escobar Piccoli, Jacqueline ; MANFREDINI, VANUSA		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.taap.2018.03.031	Toxicological assessment of PEGylated single-walled carbon nanotubes in early developing zebrafish	TOXICOLOGY AND APPLIED PHARMACOLOGY	CORDEIRO, MARCOS F. ; GIRARDI, FELIPE A. ; GONÇALVES, CARLA O.F. ; PEIXOTO, CAROLINA S. ; BOSCO, Lidiane Dal ; SAHOO, SANGRAM K. ; SANTOS, ADELINA P. ; FANTINI, CRISTIANO ; BRUCH, GISELE EVA ; HORN, ANA PAULA ; BARROS, DANIELA M.		
artigoEmPeriodico	 	2018		Efeitos da equoterapia sobre o equilíbrio estático e dinâmico no transtorno neurocognitivo maior ou leve devido à Doença de Huntington	Revista Fisioterapia Brasil	COSTA, J. V. L. ; SERRÃO JÚNIOR, N. F. ; LUVIZUTTO, G. J. ; ARAUJO, T. B. ; SAFONS, M. P. ; REZENDE, A. L. G.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.26843/investigacao.v17i1.2372	TORACOSCOPIA PARA CORREÇÃO DA PERSISTÊNCIA DO ARCO AÓRTICO EM CÃO DA RAÇA BEAGLE	INVESTIGAÇÃO	CRIVELARO, R. M. ; BRUN, M. V. ; TIOSSO, C. F. ; GERING, A. P. ; De NARDI, Andrigo Barboza ; MINTO, B. W. ; DIAS, Luis Gustavo Gosuen Gonçalves ; Thiesen, R. ; CARCIOFI, Aulus Cavalieri ; MORAES, P. C.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.21037/jtd.2018.01.40	Global Alliance against Chronic Respiratory Diseases (GARD) Brazil success case: overcoming barriers	Journal of Thoracic Disease	CRUZ, ALVARO A. ; CAMARGOS, PAULO A. ; URRUTIA-PEREIRA, MARILYN ; STELMACH, RAFAEL		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1111/jphp.12949	Antifungal mechanism of action of <i>Schinus lentiscifolius</i> Marchand essential oil and its synergistic effect <i>in vitro</i> with terbinafine and ciclopirox against dermatophytes	JOURNAL OF PHARMACY AND PHARMACOLOGY	DANIELLI, LETÍCIA J. ; PIPPI, BRUNA ; DUARTE, JONATHALINE A. ; MACIEL, ANA J. ; LOPES, WILLIAM ; MACHADO, MICHEL M. ; OLIVEIRA, LUIS FLÁVIO S. ; VAINSTEIN, MARILENE H. ; TEIXEIRA, MÁRIO L. ; BORDIGNON, SÉRGIO A. L. ; FUENTEFRIA, ALEXANDRE M. ; APEL, MIRIAM A.		
artigoEmPeriodico	 	2018		EDUCAÇÃO AMBIENTAL: FALTA DE INSERÇÃO DO TEMA NOS DOCUMENTOS OFICIAIS DAS ESCOLAS DE EDUCAÇÃO BÁSICA	VIVÊNCIAS (URI. ERECHIM)	DIAS, D. B. R. ; DINARDI, A. J.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1590/s0104-12902018170658	Representações sociais sobre saúde e meio ambiente para equipes de Estratégia Saúde da Família	SAÚDE E SOCIEDADE (ONLINE)	DIAS, G. L. ; CAMPONOGARA, S. ; COSTA, Valdecir Zavarese da ; CEZAR-VAZ, Marta Regina ; WEILLER, T. H. ; CARDOSO, Letícia da Silveira		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.ejps.2017.09.004	Optimization of alginate microcapsules containing cells overexpressing α- l -iduronidase using Box-Behnken design	EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES	DIEL, DIRNETE ; LAGRANHA, VALESKA LIZZI ; SCHUH, ROSELENA SILVESTRI ; BRUXEL, FERNANDA ; MATTE, URSULA ; TEIXEIRA, HELDER FERREIRA		
artigoEmPeriodico	 	2018		A TEMÁTICA AMBIENTAL NOS CURSOS DE LICENCIATURA DA UNIVERSIDADE FEDERAL DO PAMPA	EDUCAÇÃO AMBIENTAL EM AÇÃO	DINARDI, A. J.; FARIAS, N. R. F. F.		
artigoEmPeriodico	 	2018		O USO DE PRAÇAS PÚBLICAS COMO ESPAÇO NÃO FORMAL DE EDUCAÇÃO	Educação,Cultura e Sociedade	DINARDI, A. J.; FEIFFER, A. H. S. ; FELIPPELLI, H. E.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.5433/1679-0359.2018v39n1p211	Risk factors associated to canine visceral leishmaniasis in Uruguaiana city, Brazil	SEMINA. CIÊNCIAS AGRÁRIAS (ONLINE)	ESCOBAR, TAIANE ACUNHA ; DÖWICH, GABRIELA ; ZURAVSKI, LUÍSA ; CANTELE, LETÍCIA CARVALHO ; DUARTE, CLAUDIA ACOSTA ; LÜBECK, IRINA		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.biopha.2017.12.070	Extract of Citrus maxima (pummelo) leaves improve hepatoprotective activity in Wistar rats submitted to the induction of non-alcoholic hepatic steatosis	BIOMEDICINE & PHARMACOTHERAPY	FEKSA, DENISE LIMA ; COELHO, RITIÉLE PINTO ; APARECIDA DA COSTA GÜLLICH, ANGÉLICA ; DAL PONTE, EMANUELLE S. ; da Costa Escobar Piccoli, Jacqueline ; MANFREDINI, VANUSA		
artigoEmPeriodico	 	2018		Iliac Lymphadenectomy following Intrauterine Mapping in a Female Dog with Breast Neoplasm.	Acta Scientiae Veterinariae	FERANTI, J.P.S. ; HARTMANN, H. F. ; LINHARES, M. T. ; CAMPOS, R. V. ; de Oliveira, M. T. ; CHAVES, RAFAEL OLIVEIRA ; SILVA, A. J. C. ; BRUN, M.V.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1007/s40974-018-0087-x	Future trends in nanotechnology aiming environmental applications	Energy, Ecology and Environment	FRACETO, LEONARDO FERNANDES ; DE LIMA, RENATA ; OLIVEIRA, HALLEY CAIXETA ; Ávila, Daiana Silva ; CHEN, BIN		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1073/pnas.1718435115	Environmental enrichment and exercise are better than social enrichment to reduce memory deficits in amyloid beta neurotoxicity	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	GARCIA, M. ; SCHIMIDT, H. L. ; GARCIA, A. ; DARE, L. ; IZQUIERDO, I. ; CARPES, FP ; CARPES, P. B. M.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1590/0103-8478cr20170283	Phenotypic and genotypic characteristics on calves? sale price on the western border of the state of Rio Grande do Sul, Brazil	CIÊNCIA RURAL	GONCALVES, T. L. ; CHRISTOFARI, Luciana Fagundes ; OAIGEN, Ricardo Pedroso ; BERTODO, G. O. ; Barcellos, Júlio Otávio Jardim ; BASTOS, G. M.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1093/biolre/ioy083	Sex Steroids Drive the Remodeling of Oviductal Extracellular Matrix in Cattle-	BIOLOGY OF REPRODUCTION	GONELLA-DIAZA, ANGELA MARIA ; Mesquita, Fernando Silveira ; LOPES, EVERTON ; DA SILVA, KAUÊ RIBEIRO ; COGLIATI, BRUNO ; STREFEZZI, RICARDO DE FRANCISCO ; BINELLI, MARIO		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.15536/thema.15.2018.686-703.854	A produção do conhecimento a respeito da formação inicial de professores: desafios e expectativas	REVISTA THEMA	GOULART, GUILHERME SALGUEIRO ; GUIDOTTI, CHARLES DOS SANTOS ; SPOHR, CARLA BEATRIZ		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.neuro.2018.04.008	Metabolic effects of manganese in the nematode Caenorhabditis elegans through DAergic pathway and transcription factors activation	NEUROTOXICOLOGY	Gubert, Priscila ; PUNTEL, BRUNA ; LEHMEN, TASSIA ; FESSEL, JOSHUA P. ; CHENG, PAN ; BORNHORST, JULIA ; TRINDADE, LUCAS SIQUEIRA ; Avila, Daiana S. ; Aschner, Michael ; SOARES, FELIX A.A.		
artigoEmPeriodico	 	2018		One-stage Laparoscopic Nephrectomy and Ovariohysterectomy for Concurrent Dioctophymosis and Pyometra in a Bitch	Acta Scientiae Veterinariae	HARTMANN, H. F. ; OLIVEIRA, M. T. de ; FERANTI, J. P. S. ; CORADINI, G. P. ; PIEREZAN, B. Z. ; COPAT, B. ; SILVA, M. A. M. ; BRUN, MAURICIO VELOSO		
artigoEmPeriodico	 	2018		Percepções de Estagiários da Educação Física sobre o Estágio Supervisionado na Educação Infantil	Revista Exitus	ISBARROLA, J. A. ; COPETTI, J.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1002/cyto.a.23317	Analysis of NTPDase2 in the cell membrane using fluorescence recovery after photobleaching (FRAP)	CYTOMETRY PART A	KIPPER, F. C. ; TAMAJUSUKU, A. S. K. ; MINUSSI, D. C. ; VARGAS, J. E. ; BATTASTINI, A. M. O. ; KACZMAREK, E. ; ROBSON, S. C. ; LENZ, G. ; WINK, M. R.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1002/14651858.CD012971	Selective versus routine intraoperative cholangiography for cholecystectomy	COCHRANE LIBRARY (ONLINE)	KLEINUBING, DIEGO R; RIERA, RACHEL ; MATOS, DELCIO ; LINHARES, MARCELO MOURA		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.3233/WOR-172658	Should we consider steps with variable height for a safer stair negotiation in older adults?	WORK-A Journal of Prevention Assessment & Rehabilitation	KUNZLER, MARCOS R. ; ROCHA, E. S. ; SANTOS, C. S. ; CECCON, F. G. ; PRIARIO, L. A. A. ; CARPES, FP		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.2174/0929867325666180410105135	NAChR α4β2 subtype and their relation with nicotine addiction, cognition, depression and hyperactivity disorder	CURRENT MEDICINAL CHEMISTRY	Laikowski, M.M. ; PAULA, F. R. ; Moura, S.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1123/ijspp.2016-0187	Improvement of Performance and Reduction of Fatigue With Low-Level Laser Therapy in Competitive Cyclists	International Journal of Sports Physiology and Performance	LANFERDINI, FÁBIO J. ; Bini, Rodrigo R. ; BARONI, BRUNO M. ; KLEIN, KELLI D. ; Carpes, Felipe P. ; VAZ, MARCO A.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1071/rd16487	In vitro growth and development of isolated secondary follicles from vitrified caprine ovarian cortex	REPRODUCTION FERTILITY AND DEVELOPMENT	LEAL, ÉRICA S. S. ; VIEIRA, LUIS A. ; SÁ, NAÍZA A. R. ; SILVA, GERLANE M. ; LUNARDI, FRANCIELE O. ; FERREIRA, ANNA C. A. ; CAMPELLO, CLÁUDIO C. ; ALVES, BENNER G. ; CIBIN, FRANCIELLI W. S. ; SMITZ, JOHAN ; FIGUEIREDO, JOSÉ R. ; RODRIGUES, ANA P. R.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1590/2177-9465-ean-2017-0178	Uncertainties of mothers of children in conservative renal treatment	Escola Anna Nery. Revista de Enfermagem	LISE, Fernanda ; SCHWARTZ, Eda ; MILBARTH, Viviane Marten ; CASTELBLANCO, D. C. C. ; ANGELO, Margareth ; GARCIA, Raquel Pötter		
artigoEmPeriodico	 	2018		Desafio da Formação Continuada em Abordagens acerca do Meio Ambiente em uma Perspectiva Interdisciplinar	INTERDISCIPLINARIDADE	LOPES, C. S. C. ; SOARES, E. L ; VIÇOSA, D. L. ; PESSANO, EDWARD CASTRO ; FOLMER, V		
artigoEmPeriodico	 	2018		Investigações acerca de ações interdisciplinares na área de Ciências da Natureza no Ensino Médio	ENSINO & PESQUISA	LOPES, C. S. C. ; SOARES, E. L. ; TAHA, M. S. ; ROEHRS, R.		
artigoEmPeriodico	 	2018		Utilização de vídeos de anatomia humana como ferramenta de apoio para o estudo/aprendizagem de anatomia prática,	Educação,Cultura e Sociedade	MACHRY, P. H. ; DIAS, DANIEL VENTURA ; ANDRADE, J. C. T.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.15536/thema.15.2018.653-671.847	Estado da Arte sobre avaliação no Ensino de Ciências	REVISTA THEMA	MARINHO, J. C. B.; CALCAGNO, S. C. ; SILVA, J. A.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.cryobiol.2017.10.111	Effects of ascorbic acid on oxidative stress in ovarian tissue cryopreservation of zebrafish	CRYOBIOLOGY	MARQUES, LIS ; ROCHA, SHIMELLY ; HOSHIBA, MARCIO ; SANTOS, FRANCIELLI ; SIMONETTI, RAJLA ; STREIT, DANILO PEDRO		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.gaitpost.2018.03.025	Childhood obesity is associated with altered plantar pressure distribution during running	GAIT & POSTURE	MESQUITA, P. R. ; NERI, S. G. R. ; LIMA#8288 ; CARPES, FP ; DAVID, A. C.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1038/s41541-018-0051-y	FIV vaccine with receptor epitopes results in neutralizing antibodies but does not confer resistance to challenge	npj vaccines	Miller, Craig ; EMANUELLI, Mauren Picada ; Fink, Elizabeth ; Musselman, Esther ; Mackie, Ryan ; TROYER, R. ; ELDER, J. ; VANDEWOUDE, S.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.anireprosci.2018.03.002	Reduction in Percoll volume increases recovery rate of sex-sorted semen of bulls without affecting sperm quality and early embryonic development	ANIMAL REPRODUCTION SCIENCE	MISSIO, DANIELE ; FOLCHINI, NATÁLIA PICOLLI ; LEIVAS, FABIO GALLAS ; PAVIN, CECÍLIA ISABEL INÊS URQUIZA MACHADO ; PINTO, HIRYA FERNANDES ; SANTOS CIBIN, FRANCIELLI WEBER ; DOS SANTOS BRUM, DANIELA		
artigoEmPeriodico	 	2018		DIGESTIBILITY OF TOTAL, INSOLUBLE AND SOLUBLE DIETARY FIBER OF SOWS DURING GESTATION	INTERNATIONAL JOURNAL OF CURRENT RESEARCH	OELKE, C. A.; RIBEIRO, A. M. L. ; DENARDIN, C. C. ; VEIT, F. C. ; SCHREINER, T. ; ARAUJO, F. A.		
artigoEmPeriodico	 	2018		Risco de drogadição em escolares: docentes como potenciais agentes de prevenção e promoção de saúde.	EXPRESSA EXTENSÃO	OLIVEIRA, L. F. S. ; MOREIRA, B. R. ; OLIVEIRA, E. L. ; BOFILL, M. A. M. ; MACHADO, M.M. ; AFONSO, D. H.		
artigoEmPeriodico	 	2018		Biomechanical analysis of the masticatory movement before or after adjusting dental occlusion inequine	ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA	PAIVA NETO, A. O. ; Lacerda Neto, J.C. ; DIAS, D. P. M. ; DUARTE, Claudia Acosta ; LEITE, C. T. ; DOWICH, G.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.ijfoodmicro.2018.06.013	Foods introduced into Brazil through the border with Argentina and Uruguay: Pathogen detection and evaluation of hygienic-sanitary quality	INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY	PEREIRA, Juliano Gonçalves; Soares, Vanessa Mendonça ; TADIELO, LEONARDO ERENO ; DOS SANTOS, EMANOELLI APARECIDA RODRIGUES ; LOPES, GRACIELA VOLZ ; DA CRUZ PAYÃO PELLEGRINI, DÉBORA ; DUVAL, EDUARDA HALLAL ; DA SILVA, WLADIMIR PADILHA		
artigoEmPeriodico	 	2018		NA TRILHA DO PAMPA: UM JOGO PARA O DESENVOLVIMENTO DA EDUCAÇÃO AMBIENTAL NO CONTEXTO DO PAMPA GAÚCHO	REVISTA METROPOLITANA DE SUSTENTABILIDADE	PINHEIRO, F. L. ; CARRICO, M. R. S. ; GAYER, M. C. ; DINARDI, A. J.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.3390/su10010250	Injuries of Repetitive Efforts in Workers from the Poultry Meat Industry: A Bibliometric Analysis of Literature	Sustainability	PINTO, ALEXANDRE; SILVA, DIEGO ; ENSSLIN, LEONARDO ; REIS, PEDRO ; VILAGRA, JOSÉ ; VERGARA, LIZANDRA ; MORO, ANTÔNIO		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1097/HCR.0000000000000292	Variability in Quality of Life Outcomes Following a Pulmonary Rehabilitation Program in Patients With COPD	Journal of Cardiopulmonary Rehabilitation and Prevention	PORTO, ELIAS F. ; CASTRO, ANTONIO A. M. ; CORTOPASSI, FELIPE ; DE SOUZA, GERSON F. ; JARDIM, JOSÉ R.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1080/02640414.2018.1432239	The categorization of amateur cyclists as research participants: findings from an observational study	JOURNAL OF SPORTS SCIENCES	PRIEGO QUESADA, JOSE IGNACIO ; KERR, Z. ; BERTUCCI, W. ; CARPES, FP		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.physbeh.2017.10.028	Selenofuranoside improves long-term memory deficits in rats after exposure to monosodium glutamate: Involvement of Na + , K + -ATPase activity	PHYSIOLOGY & BEHAVIOR	RAMALHO, JULIANA BERNERA ; IZAGUIRRY, ARYELE PINTO ; SOARES, MELINA BUCCO ; SPIAZZI, CRISTIANO CHIAPINOTTO ; Pavin, Natasha Frasson ; AFFELDT, RICARDO FERREIRA ; LÜDTKE, DIOGO SEIBERT ; PINTON, SIMONE ; Santos, Francielli Weber ; PRIGOL, MARINA		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1071/rd17335	Treatment with cyclic adenosine monophosphate modulators prior to in vitro maturation alters the lipid composition and transcript profile of bovine cumulus?oocyte complexes and blastocysts	REPRODUCTION FERTILITY AND DEVELOPMENT	RAZZA, EDUARDO M. ; SUDANO, MATEUS J. ; FONTES, PATRICIA K. ; FRANCHI, FERNANDA F. ; BELAZ, KATIA ROBERTA A. ; SANTOS, PRISCILA H. ; CASTILHO, ANTHONY C. S. ; ROCHA, DANIELE F. O. ; EBERLIN, MARCOS N. ; MACHADO, MARIANA F. ; NOGUEIRA, MARCELO F. G.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1093/chromsci/bmy028	Stability Study of Finasteride: Stability- Indicating LC Method, In Silico and LC?ESI-MS Analysis of Major Degradation Product, and an In Vitro Biological Safety Study	Journal of Chromatographic Science	REIS, RAFAEL HENRIQUE DIAS ; PAULA, FÁVERO REISDORFER ; MACHADO, MICHEL MANSUR ; DUARTE, JONATHALINE APOLLO ; OLIVEIRA, LUÍS FLÁVIO SOUZA DE ; PAIM, CLÉSIO SOLDATELI ; Malesuik, Marcelo Donadel		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1080/07315724.2017.1386139	ADIPOQ + 45T≥G Polymorphism, Food Ingestion, and Metabolic Syndrome in Elderly Persons	JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION	REMATOSO, V. R. ; MAURER, P. ; BERRO, L. F. ; TAVARES, GRAZIELA MORGANA SILVA ; MANFREDINI, V. ; PICCOLI, J. C. E.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.7324/JAPS.2018.8120	Development and validation of high-performance liquid chromatography method for simultaneous determination of acyclovir and curcumin in polymeric microparticles.	JOURNAL OF APPLIED PHARMACEUTICAL SCIENCE	REOLON, J. B. ; BRUSTOLIN, M. ; Haas, S. E. ; Bender, E. A. ; MALESUIK, M. D. ; Colomé, L. M.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.7322/jhgd.133582	Fingernails as a biomarker for dental fluorosis	Rev Bras Crescimento Desenvolvimento Humano	RIGO, L. ; CERICATO, G. O. ; SABADIN, C. S. ; SOLDA, C. ; MARIO, D.N. ; BUZALAF, M. A. R.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.envres.2018.01.026	Mercury-induced vascular dysfunction is mediated by angiotensin II AT-1 receptor upregulation	ENVIRONMENTAL RESEARCH	RIZZETTI, DANIZE A. ; DA SILVA, TAIZ M. ; ESCOBAR, ALYNE G. ; PIAGETTE, JANAINA ; PEÇANHA, FRANCK M. ; VASSALLO, DALTON V. ; ALONSO, MARIA J. ; SALAICES, MERCEDES ; WIGGERS, GIULIA A.		
artigoEmPeriodico	 	2018	http://dx.doi.org/10.1016/j.rvsc.2018.02.005	Metabolic predictors of peri-partum diseases and their association with parity in dairy cows	RESEARCH IN VETERINARY SCIENCE	RUPRECHTER, GRETEL ; ADRIEN, MARIA DE LOURDES ; LARRIESTRA, ALEJANDRO ; MEOTTI, OTAVIO ; BATISTA, CHESTER ; MEIKLE, ANA ; Noro, Mirela		
artigoEmPeriodico	 	2018		Relationship between Hammett's parameters and in silico Density Functional with tandem mass ESI-CID fragmentation: Dihydropyridines as prototypes	JOURNAL OF MASS SPECTROMETRY	Santos, P.R. ; de Pereira, C. M. P. ; RITTER, M. ; PAULA, F. R. ; Moura, S.		
artigoEmPeriodico	 	2018		Adolescentes que vivem com HIV/aids: experiências de sexualidade	REVISTA GAÚCHA DE ENFERMAGEM	SEHNEM, Graciela Dutra; PEDRO, E. N. R. ; RESSEL, L. B. ; VASQUEZ, M. E. D.		
artigoEmPeriodico	 	2018		Sexualidade de adolescentes que vivem com HIV/aids: fontes de informação delimitando aprendizados	Escola Anna Nery. Revista de Enfermagem	SEHNEM, Graciela Dutra; PEDRO, E. N. R. ; RESSEL, LÚCIA BEATRIZ ; VASQUEZ, M. E. D.		
